done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,partial pressure,Partialdruck,p,p,thermodynamic,Thermodynamik,"The amount of a gas species in a gas mixture is experessed a its partial pressure, where partial essentially is the modal abundance of the considered gas species. The partial pressure is given as 'p'. In a non-ideal gas, the deviation of a gas specias from non-ideality is called the fugacity. The coefficient 'gamma' quantifies the deviation from non-ideality. The relationship between partial pressure and fugacity is then: f = gamma * p.","The amount of a gas species in a gas mixture is experessed a its partial pressure, where partial essentially is the modal abundance of the considered gas species. The partial pressure is given as 'p'. In a non-ideal gas, the deviation of a gas specias from non-ideality is called the fugacity. The coefficient 'gamma' quantifies the deviation from non-ideality. The relationship between partial pressure and fugacity is then: f = gamma * p.",,None,None,,,
yes,gardening,gardening,,,process,Prozess,The mechanical disturbance and re-location of regoltih grains during (micro)meteorite impacts on planetary bodies.,The mechanical disturbance and re-location of regoltih grains during (micro)meteorite impacts on planetary bodies.,,None,None,,,
yes,albedo,Albedo,,,property,Merkmal,The amount of light reflected from a planetary body – 1: all light is reflected; 0: no light is reflected.,The amount of light reflected from a planetary body – 1: all light is reflected; 0: no light is reflected.,,None,None,,,
yes,half-life,Halbwertszeit,,,chronology,Altersskala,The time after which half of the present amount of a radioactive nulcide has been decayed. The half-life (t1/2) is related to the decay constant (lambda) by the formula: t1/2 = Ln(2)/lambda.,The time after which half of the present amount of a radioactive nulcide has been decayed. The half-life (t1/2) is related to the decay constant (lambda) by the formula: t1/2 = Ln(2)/lambda.,,None,None,,,
yes,decay constant,Zerfallskonstante,,,chronology,Altersskala,The proportionality factor (lambda) relating the amount of radioactive nucleii to the rate at wich the radioactive parent nuclide decays. The decay constant (lambda) is related to the half-life (t0.5)  by the formula: lambda = Ln(2)/t0.5.,The proportionality factor (lambda) relating the amount of radioactive nucleii to the rate at wich the radioactive parent nuclide decays. The decay constant (lambda) is related to the half-life (t0.5)  by the formula: lambda = Ln(2)/t0.5.,,None,None,,,
yes,Hertzsprung-Russell Diagram,Hertzsprung-Russell Diagramm,,,classification,Klassifikation,"The classification diagram for star evolution. This can be drawn in numerous ways, i.e, with various parameters on its axis, while the evolutionary paths and various fields remain largely the same.","The classification diagram for star evolution. This can be drawn in numerous ways, i.e, with various parameters on its axis, while the evolutionary paths and various fields remain largely the same.",,None,WikiHertzsprungRussell,,,
yes,incompatible element,Inkompatibles Element,,,property,Merkmal,"These are preferentially concentrated in a silicate melt, i.e., these have a partition coefficient (D) larger 1, if D = c(el in melt)/c(el in solid).","These are preferentially concentrated in a silicate melt, i.e., these have a partition coefficient (D) larger 1, if D = c(el in melt)/c(el in solid).",,None,None,,,
yes,compatible element,Kompatibles Element,,,property,Merkmal,"These are preferentially concentrated in a silicate rock, i.e., these have a partition coefficient (D) smaller 1, if D = c(el in melt)/c(el in solid).","These are preferentially concentrated in a silicate rock, i.e., these have a partition coefficient (D) smaller 1, if D = c(el in melt)/c(el in solid).",,None,None,,,
yes,KREEP,KREEP,"K, REE, P","K, REE, P",acronym,Abkürzung,"These lunar highland rocks are high in the incompatible elements K, REE, P, but also others.","These lunar highland rocks are high in the incompatible elements K, REE, P, but also others.",,None,WikiKreep,,,
yes,LIL,LIL,"large ion lithophile elements, LILE","Lithophile Elemente mit großen Ionenadius, LILE",acronym,Abkürzung,"These are e.g., alkalies, REE, U, Th.","These are e.g., alkalies, REE, U, Th.",,None,None,,,
,chalcophile,Chalkophil,,,,,,,,None,WikiGoldschmidtClassification,,,
yes,LUNI,LUNI,lunar initial,Mond Initial,acronym,Abkürzung,Best estimate for the lunar 87Sr/86Sr: 0.69903.,Best estimate for the lunar 87Sr/86Sr: 0.69903.,,None,None,,,
yes,Mg*,Mg*,,,acronym,Abkürzung,"Radiogenic Mg (or any other element), i.e., Mg produced from radiogenic parent nuclide, in case of Mg* this is 26Al -> 26Mg.","Radiogenic Mg (or any other element), i.e., Mg produced from radiogenic parent nuclide, in case of Mg* this is 26Al -> 26Mg.",,None,None,,,
yes,NRM,NRM,natural remnant magnetisation,natürliche Restmagnetisierung,acronym,Abkürzung,The permanent magnetisation a rock conserves after it solidified.,The permanent magnetisation a rock conserves after it solidified.,,None,None,,,
yes,PDB,PDB,Pee Dee belemnite,Pee Dee Belemnit,"acronym, standard","Abkürzung, Standard",A fossil carbonate used as standard for C-isotopes.,A fossil carbonate used as standard for C-isotopes.,,None,None,,,
yes,PGE,PGE,platinum group elements,Platingruppenelemente,acronym,Abkürzung,"The noble metals: Ru, Rh, Pd, Os, Ir, Pt ","The noble metals: Ru, Rh, Pd, Os, Ir, Pt ",,None,None,,,
yes,SNC,SNC,"shergottite, nakhlite, chassignite","Shergottit, Nakhlit, Chassignit",acronym,Abkürzung,"shergottite, nakhlite, chassignite. These meteorite groups liekly originated from the planet Mars.","shergottite, nakhlite, chassignite. These meteorite groups liekly originated from the planet Mars.",,None,None,,,
yes,fusion crust,Fusionskruste,,,component,Komponente,"The surface of a meteor travelling through the atmosphere is heated above the liquidus of the constituting rock. The surface starts to melt and ablate. As meteorites have near-peridotitic composition, the solidified melt is black. Fusion crust is typically <1 mm thin. Rocks are poor thermal conductors, hence only the very outer few mm become hot. The inside stays at space temperatures of about 2.73 K, and slowly warms upon resting on the Earth's surface","The surface of a meteor travelling through the atmosphere is heated above the liquidus of the constituting rock. The surface starts to melt and ablate. As meteorites have near-peridotitic composition, the solidified melt is black. Fusion crust is typically <1 mm thin. Rocks are poor thermal conductors, hence only the very outer few mm become hot. The inside stays at space temperatures of about 2.73 K, and slowly warms upon resting on the Earth's surface",,None,None,,,
yes,ablation,Ablation,,,process,Prozess,"The surface of a meteor travelling through the atmosphere starts melting due to fricitional heating. The molten material can be sheared of as droplets, which is then called ablation.","The surface of a meteor travelling through the atmosphere starts melting due to fricitional heating. The molten material can be sheared of as droplets, which is then called ablation.",,None,None,,,
yes,fireball,Feuerball,,,,,"An incandescence caused by frictional heat when a meteoroide falls through an atmosphere. A bolide, if it is very bright.","An incandescence caused by frictional heat when a meteoroide falls through an atmosphere. A bolide, if it is very bright.",,None,None,,,
yes,bolide,Feuerkugel,,,,,A large fireball.,A large fireball.,,None,None,,,
yes,comet,Komet,,,planetary body,Planetatischer Körper,"A hundreds of meters to kilometer sized body on an eliptical to hyperbolic orbit around the sun. Comets start to evaporate close to the sun and develop an ion and a dust tail. Short period comets (<100 years) originate from the Kuiper belt, and have small inclinations. Long period comets (>1000 years) originate from the Oort cloud and have all types of inclinations.","A hundreds of meters to kilometer sized body on an eliptical to hyperbolic orbit around the sun. Comets start to evaporate close to the sun and develop an ion and a dust tail. Short period comets (<100 years) originate from the Kuiper belt, and have small inclinations. Long period comets (>1000 years) originate from the Oort cloud and have all types of inclinations.",,None,None,,,
yes,cosmic spherule,Kosmische Kügelchen,,,componet,Komponente,international System of Units,international System of Units,,None,None,,,
yes,cumulate,Kumulat,,,,,A rock formed fo minerals that gravitationally settled at the bottom of a melt.,A rock formed fo minerals that gravitationally settled at the bottom of a melt.,,None,None,,,
yes,primitive,Primitiv,pristine,Ursprünglich,,,Designates any material that has not been altered by secondary processes such as hydrous and/or thermal alteration since it formed.,Designates any material that has not been altered by secondary processes such as hydrous and/or thermal alteration since it formed.,,None,None,,,
yes,big bang,Urknall,,,,,The beginning of our universe from a singularity 13.80 Ga ago.,The beginning of our universe from a singularity 13.80 Ga ago.,,None,WikiBigBang,,,
yes,red shift,Rotverschiebung,,,,,"Our universe continuously expands, and galaxies move away from each other like raisins in an expandig dough. The wavelength of the light from the galaxies movieng away from each other and thereby also from us is shifted to longer, i.e., red wave-lengths.","Our universe continuously expands, and galaxies move away from each other like raisins in an expandig dough. The wavelength of the light from the galaxies movieng away from each other and thereby also from us is shifted to longer, i.e., red wave-lengths.",,None,WikiRedShift,,,
yes,galaxy,Galaxie,,,,,"The universe contains about 100.000 galaxies, and each of those on average about 100.000 stars. Our galaxy, the milky way, is a spiral galaxy and has a diameter of roughly 100.000 light years. Our solar system is located on the inner edge of the outermost arm.","The universe contains about 100.000 galaxies, and each of those on average about 100.000 stars. Our galaxy, the milky way, is a spiral galaxy and has a diameter of roughly 100.000 light years. Our solar system is located on the inner edge of the outermost arm.",,None,None,,,
yes,universe,Universum,,,,,Our universe formed about 13.8 Ga ago in an event called the big bang.,Our universe formed about 13.8 Ga ago in an event called the big bang.,,None,None,,,
yes,regmaglypt,Regmaglypt,,,,,Depressions on the surface of typically iron meteorites that were formed during atmospheric entry when the surface of the meteor was heated and ablated.,Depressions on the surface of typically iron meteorites that were formed during atmospheric entry when the surface of the meteor was heated and ablated.,,None,None,,,
yes,terminal velocity,Endgeschwindigkeit,,,,,The final velocity of a meteor after its fall through Earth's atmosphere: several 100 m/s,The final velocity of a meteor after its fall through Earth's atmosphere: several 100 m/s,,None,None,,,
yes,PDF,PDF,planar deformation feature,Planare Verformung,"structure, petrography","Struktur, Petrographie",Structures in a rock resulting from an impact shock.,Structures in a rock resulting from an impact shock.,,None,None,,,
yes,K-T boundary,K-T Grenze,"K-Pg (Cretaceous–Paleogene) boundary, Cretaceous–Tertiary boundary","K-Pg-Grenze (Kreide-Paläogen-Grenze), Kreide-Tertiär-Grenze",,,"This boundary at about 66 Ma marks a mass extinction event, including the disapperance of the dinosaurs. It might be linked with a large meteorite or even asteroid impact that made the Chicxulub crater at the Yucatan peninsula. Evidence is a small sediment band that is found around the globe and which is anomalously rich in highly siderophle elements (e.g., Ir) that are normale sequesterd into the Earth's core.","This boundary at about 66 Ma marks a mass extinction event, including the disapperance of the dinosaurs. It might be linked with a large meteorite or even asteroid impact that made the Chicxulub crater at the Yucatan peninsula. Evidence is a small sediment band that is found around the globe and which is anomalously rich in highly siderophle elements (e.g., Ir) that are normale sequesterd into the Earth's core.",,None,WikiCretaceousPaleogene,,,
yes,NEO,NEO,"Near Earth object, NEA (Near Earth Asteroids)","Erdnahes Objekt, NEA (Erdnahe Asteroiden)",,,"Meteorite- to asteroid-sized objects crossing Earth's orbit and the source for meteorites and larger impactors. All these smaller than 25 km, >1100 objects are larger than 1 km, and > 1 million are larger than 40 m.","Meteorite- to asteroid-sized objects crossing Earth's orbit and the source for meteorites and larger impactors. All these smaller than 25 km, >1100 objects are larger than 1 km, and > 1 million are larger than 40 m.",,None,None,,,
yes,CMB,CMB,cosmic microwave background,Kosmischer Mikrowellen Hintergrund,,,Remnant radiation from the big bang at 2.73 K.,Remnant radiation from the big bang at 2.73 K.,,None,None,,,
yes,LITE,LITE,large igneous-textured enclaves,Große magmatischen Einschlüsse,"acronym, component","Abkürzung, Komponente","Large objects (up to 3 cm) that are the result of shock melts, appearing in LL chondrites.","Large objects (up to 3 cm) that are the result of shock melts, appearing in LL chondrites.",,"Jamsja+Ruzicka,2010",None,,,
yes,µ,µ,"micro, 10^-6","mikro, 10^-6",,,The metric prefix for millionth.,The metric prefix for millionth.,,None,WikiUnitPrefix,,,
yes,n,n,"nano, 10^-9","nano, 10^-9",,,The metric prefix for billionth.,The metric prefix for billionth.,,None,WikiUnitPrefix,,,
yes,p,p,"pico, 10^-12","piko, 10^-12",,,The metric prefix for trillionth.,The metric prefix for trillionth.,,None,WikiUnitPrefix,,,
yes,ADS,ADS,Astrophysics Data System,Astrophysikalisches Datensytsem,"database, acronym","Datenbank, Abkürzung",An online library for astrophysical journals.,An online library for astrophysical journals.,,ADS,None,,,
yes,GCA,GCA,Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica Acta,"journal, acronym","Zeitschrift, Abkürzung","One of the most important journals for cosmochemistry, published by Elsevier.","One of the most important journals for cosmochemistry, published by Elsevier.",,GCA,None,,,
yes,EPSL,EPSL,Earth and Planetary Science Letters,Earth and Planetary Science Letters,"journal, acronym","Zeitschrift, Abkürzung","One of the most important journals for cosmochemistry, published by Elsevier.","One of the most important journals for cosmochemistry, published by Elsevier.",,EPSL,None,,,
yes,MAPS,MAPS,Meteoritics & Planetary Sciences,Meteoritics & Planetary Sciences,"journal, acronym","Zeitschrift, Abkürzung","One of the most important journals for cosmochemistry, published by Wiley.","One of the most important journals for cosmochemistry, published by Wiley.",,MAPS,None,,,
yes,Icarus,Icarus,,,journal,Zeitschrift,"Frequently publishing cosmochemical articles, published by Elsevier.","Frequently publishing cosmochemical articles, published by Elsevier.",,Icarus,None,,,
yes,CdE,CdE,Chemie der Erde,Chemie der Erde,"journal, acronym","Zeitschrift, Abkürzung","Frequently publishing cosmochemical articles, published by Elsevier.","Frequently publishing cosmochemical articles, published by Elsevier.",,CdE,None,,,
yes,JGR-Planets,JGR-Planets,Journal of Geohphysical Research - Planets,Journal of Geohphysical Research - Planets,"journal, acronym","Zeitschrift, Abkürzung","Also publishing cosmochemical articles, published by Wiley.","Also publishing cosmochemical articles, published by Wiley.",,JGRPlanets,None,,,
yes,ApJ,ApJ,The Astrophysical Journal,The Astrophysical Journal,"journal, acronym","Zeitschrift, Abkürzung","Regularly publishing cosmochemical articles, published by IOP Publishing.","Regularly publishing cosmochemical articles, published by IOP Publishing.",,ApJ,None,,,
yes,ApJ - L,ApJ - L,The Astrophysical Journal - Letters,The Astrophysical Journal - Letters,"journal, acronym","Zeitschrift, Abkürzung","Regularly publishing cosmochemical articles, published by IOP Publishing.","Regularly publishing cosmochemical articles, published by IOP Publishing.",,ApJL,None,,,
yes,A&A,A&A,Astronomy & Astrophysics,Astronomy & Astrophysics,"journal, acronym","Zeitschrift, Abkürzung","Also publishing cosmochemical articles, published by edp sciences.","Also publishing cosmochemical articles, published by edp sciences.",,AandA,None,,,
yes,Elements,Elements,,,journal,Zeitschrift,"Regularly publishing cosmochemical articles, published by GeoScienceWorld.","Regularly publishing cosmochemical articles, published by GeoScienceWorld.",,Elements,None,,,
yes,Nature,Nature,,,journal,Zeitschrift,"Also publishing cosmochemical articles, published by Springer Nature.","Also publishing cosmochemical articles, published by Springer Nature.",,Nature,None,,,
yes,Nature Geoscience,Nature Geoscience,,,journal,Zeitschrift,"Regularly publishing cosmochemical articles, published by Springer Nature.","Regularly publishing cosmochemical articles, published by Springer Nature.",,NatureGeoscience,None,,,
yes,PNAS,PNAS,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"journal, acronym","Zeitschrift, Abkürzung","Regularly publishing cosmochemical articles, published by National Academy of Sciences.","Regularly publishing cosmochemical articles, published by National Academy of Sciences.",,PNAS,None,,,
yes,Science,Science,,,journal,Zeitschrift,"Also publishing cosmochemical articles, published by American Association for the Advancement of Science.","Also publishing cosmochemical articles, published by American Association for the Advancement of Science.",,Science,None,,,
yes,AM,AM,American Mineralogist,American Mineralogist,"journal, acronym","Zeitschrift, Abkürzung","Also publishing cosmochemical articles, published by GeoScienceWorld.","Also publishing cosmochemical articles, published by GeoScienceWorld.",,AM,None,,,
,SSB,SSB,sample standard bracketing,Probenstandard ausklammern,"analytical, acronym","Analytisch, Abkürzung",,,,None,None,,,
yes,HFSE,HFSE,high field strength elements,Elemente mit hohe Ionenvalenzen,"element, acronym","Element, Abkürzung","Mainly the elements W, Nb, Ta, Zr, Hf. These are characterised by a small radios, but high valence.","Mainly the elements W, Nb, Ta, Zr, Hf. These are characterised by a small radios, but high valence.",,None,None,,,
yes,LMO,LMO,lunar magma ocean,Mondmagmaocean,acronym,Abkürzung,"Shortly after the moon formation, a gigantic, circum-lunar magma ocean existed. Denser elements such as olivine and pyroene are thought to have settled as cumulates at the bottom, while less denser minerals such as feldspars (e.g., anorthsite) floated to the top, building the lunar crust.","Shortly after the moon formation, a gigantic, circum-lunar magma ocean existed. Denser elements such as olivine and pyroene are thought to have settled as cumulates at the bottom, while less denser minerals such as feldspars (e.g., anorthsite) floated to the top, building the lunar crust.",,None,WikiLunaMagmaOcean,,,
yes,PKT,PKT,Procellarum KREEP Terrane,Procellarum KREEP Terrane,acronym,Abkürzung,A specific region on the Moon.,A specific region on the Moon.,,None,WikiKreep,,,
,initial,Initial,,,"analytical, chronology, isotope","Analytisch, Altersskala, Isotop",,,,None,None,,,
,common lead,common Blei,common Pb,common Pb,,,,,,None,None,,,
,MSWD,MSWD,,,"acronym, analytical","Abkürzung, Analytisch",,,,None,None,,,
yes,EDS,EDS,energy dispersive spectrometer,energiedispersives Spektrometer,"acronym, analytical","Abkürzung, Analytisch","An analytical technique to determine the element composition of a sample. The sample, i.e., the elements in the sample are subjected to e.g., an electron beam or X-rays. When electrons in lower shells of the atoms are knocked out of the atom, electrons from higher shells fill this gap. These electrons loose a distinct amount of engery of a in this process, which is characteristic for each element. This enegery is emitted as X-rays from the sample.  An EDS detector consists of a semiconductor and detects a large range of energies simultaniously. In this spectra, the characteristic energy of a certain element appears as a peak, by which it is then identified. ","An analytical technique to determine the element composition of a sample. The sample, i.e., the elements in the sample are subjected to e.g., an electron beam or X-rays. When electrons in lower shells of the atoms are knocked out of the atom, electrons from higher shells fill this gap. These electrons loose a distinct amount of engery of a in this process, which is characteristic for each element. This enegery is emitted as X-rays from the sample.  An EDS detector consists of a semiconductor and detects a large range of energies simultaniously. In this spectra, the characteristic energy of a certain element appears as a peak, by which it is then identified. ",,None,WikiEDX,,,
yes,WDS,WDS,wave-length dispersive spectrometer,Wellenlängendispersives Spektrometer,"acronym, analytical","Abkürzung, Analytisch","An analytical technique to determine the element composition of a sample. The sample, i.e., the elements in the sample are subjected to e.g., an electron beam or X-rays. When electrons in lower shells of the atoms are knocked out of the atom, electrons from higher shells fill this gap. These electrons loose a distinct amount of engery of a in this process, which is characteristic for each element. This enegery is emitted as X-rays of a corresponding characteristic wave-length from the sample.  A WDS detector consists of a crystal-spectrometer that selects specific wave-lengths depending on the angle at which the X-rays from the sample hit the crystal (cf. Bragg equation). The cyrstal must be set to the specific angle of the element that shall be detected.","An analytical technique to determine the element composition of a sample. The sample, i.e., the elements in the sample are subjected to e.g., an electron beam or X-rays. When electrons in lower shells of the atoms are knocked out of the atom, electrons from higher shells fill this gap. These electrons loose a distinct amount of engery of a in this process, which is characteristic for each element. This enegery is emitted as X-rays of a corresponding characteristic wave-length from the sample.  A WDS detector consists of a crystal-spectrometer that selects specific wave-lengths depending on the angle at which the X-rays from the sample hit the crystal (cf. Bragg equation). The cyrstal must be set to the specific angle of the element that shall be detected.",,None,None,,,
yes,spectrometry,Spektrometrie,,,analytical,Analytisch,Any technique that quantitatively analyses the composition of a sample.,Any technique that quantitatively analyses the composition of a sample.,,None,None,,,
yes,spectroscopy,Spektroskopie,,,analytical,Analytisch,Any technique that qualitatively analyses the composition of a sample.,Any technique that qualitatively analyses the composition of a sample.,,None,None,,,
yes,spectrometer,Spektrometer,,,analytical,Analytisch,"Any instrument that quantitatively analyses the composition of a sample. For example: electron microprobe, mass spectrometer, Raman spectrometer.","Any instrument that quantitatively analyses the composition of a sample. For example: electron microprobe, mass spectrometer, Raman spectrometer.",,None,None,,,
,Raman Spectrometer,Raman Spektrometer,,,analytical,Analytisch,,,,None,None,,,
,standard addition,Standardaddition,,,analytical,Analytisch,,,,None,None,,,
,isotopologue,Isotopolog,,,isotope,Isotop,"The same molecule composed of different isotopes. Examples: 12C16O, 12C17O, 12C18O, 13C16O, 13C17O, 13C18O","The same molecule composed of different isotopes. Examples: 12C16O, 12C17O, 12C18O, 13C16O, 13C17O, 13C18O",,None,None,,,
yes,ALMA,ALMA,"Atacama Large Millimeter/Submillimeter Array, almaobservatory",Atacama Large Millimeter/Submillimeter Array,"acronym, analytical, observation","Abkürzung, Analytisch, Überwachung","A radiotelescope in the Atacama desert, consisting of 66 individual dishes that can be connected togeher to one single interferometer.","A radiotelescope in the Atacama desert, consisting of 66 individual dishes that can be connected togeher to one single interferometer.",,almaObservatory,WikiALMA,,,
,light-year,Lichtjahr,,,,,,,,None,None,,,
,parsec,Parsec,,Parallaxensekunde,,,,,,None,None,,,
,CCAM,CCAM,carbonacous chondrite anhydrous mixing,Wasserfreie Mischung von kohligen Chondriten,acronym,Abkürzung,,,,None,None,,,
,Earth Impact Database,Earth Impact Database,,,,,,,,EarthImpactDatabase,None,,,
,MetBase,MetBase,,,"meteorite, component, chondrule, matrix, chemical, isotope",,Host: GeoPlatform Company,Host: GeoPlatform Company,,MetBase,None,,,
,JPL Small-Body Database Browser,JPL Small-Body Database Browser,,,"asteroid, planetesimal, small body","Ateroid, Planetesimal, Kleinkörper",,,,JPLSmallBody,None,,,
,Meteoritical Bulletin,Meteoritical Bulletin,MetBull,MetBull,"meteorite, location, classification","Meteorit, Lokation, Klassifikation",Host: The Meteoritical Society,Host: The Meteoritical Society,,MetBull,None,,,
,Presolar Grain Database,Presolar Grain Database,,,database,Datenbank,Host: Laboratory for Space Sciences @ Wash U Physics,Host: Laboratory for Space Sciences @ Wash U Physics,,PresolarGrainsDatabase,None,,,
,ISBN Search,ISBN Search,,,database,Datenbank,,,,ISBN,None,,,
,CrossRef,CrossRef,,,database,Datenbank,,,,Crossref,None,,,
,COPDESS,COPDESS,,,infrastructure,Infrastruktur,Coalition for Publishing Data in the Earth and Space Sciences',Coalition for Publishing Data in the Earth and Space Sciences',,,,,,
,Scholix,Scholix,,,infrastructure,Infrastruktur,SCHOlary LInk eXchange,SCHOlary LInk eXchange,,,,,,
,FID Geo,FID Geo,,,infrastructure,Infrastruktur,Information Service for Solid Earth Geosciences,Fachinformations­dienst Geowissenschaften der festen Erde,,,,,,
,DataCite,DataCite,,,database,Datenbank,,,,,,,,
,Core Trust Seal,Core Trust Seal,,,infrastructure,Infrastruktur,,,,,,,,
,IEDA,IEDA,,,infrastructure,Infrastruktur,,,,,,,,
,FAIR principle,FAIR Prinzip,,,,,,,,,,,,
,EarthChem,EarthChem,,,infrastructure,Infrastruktur,,,,,,,,
,EarthCube,EarthCube,,,infrastructure,Infrastruktur,,,,,,,,
,GEOROC,GEOROC,,,database,Datenbank,,,,,,,,
,PetDB,PetDB,,,database,Datenbank,,,,,,,,
,MetBase,MetBase,,,database,Datenbank,,,,,,,,
,Pangaea,Pangaea,,,data archive,Daten-Archiv,,,,,,,,
,re3data,re3data,,,database,Datenbank,,,,,,,,
yes,IGSN,IGSN,international geo sample number  ,,"database, organisation","Datenbank, Unternehmen","This organisation provides the International Geo Sample Number (IGSN), ""a unique identifier for samples and specimens collected from our natural environment"".","This organisation provides the International Geo Sample Number (IGSN), ""a unique identifier for samples and specimens collected from our natural environment"".",,igsn,None,,,
yes,RDA,RDA,research data alliance,,"database, organisation","Datenbank, Unternehmen",A global alliance promotiong open data sharing.,A global alliance promotiong open data sharing.,,RdAlliance,None,,,
,Research Gate,Research Gate,,,social media,social media,,,,,,,,
,Science Citation Index,Science Citation Index,,,,,,,,,,,,
,late veneer,Late Veneer,,,,,,,,None,None,,,
,cps,cps,counts per second,Zählrate pro Sekunde,,,,,,None,None,,,
yes,eartharXiv,eartharXiv,,,journal,Zeitschrift,Pre- and postring service for the Earth science community.,Pre- and postring service for the Earth science community.,,EarthArXiv,None,,,
,pseudo-unit,Hilfsmaßeinheit,"%, ppm, ppb, mg/g, µg/g","%, ppm, ppb, mg/g, µg/g",,,,,,None,None,,,
yes,dichotomy,Dichotomie,,,,,At least two characteristics are clearly different among various objects.,Mindestens zwei Eigenschaften sind eindeutig unterschiedlichen zwischen verschiedenen Objekten.,,None,None,,,
,debris disk,,,,,,,,,None,None,,,
yes,PID,PID,persistent identifier,persistent identifier,acronym,Abkürzung,"An object, e.g, a dataset, but also a journal or article can have a PID that is a unique number, URL, etc. A doi or ISBN are PIDs.","Ein Objekt, z.B. ein Datensatz, Journal oder eine Publikation können können eine PID haben, die eine einmalige Nummer, URL, etc. darstellt. Eine doi oder ISBN ist z.B. eine PID.",,None,None,,,
,RMN,RMN,,,acronym,Abkürzung,"Refractory Metal Nugget – typically a submicrometer, highly siderophile element rich metal alloy","Refractory Metal Nugget – typischerweise eine submikrometer, hoch-siderophile Element reiche Metall-Legierung",,,,,,
,NUCON,NUCON,,,acronym,Abkürzung,NUCON – NUcleation-CONdensation. A kinetic gas-solid condensation model for RMN (Refractory Metal Nuggets).,NUCON – NUcleation-CONdensation. Ein kintisches Gas-Fest Kondensationsmodell für RMN (Refractory Metal Nuggets).,,https://doi.org/10.1016/j.icarus.2020.113851,,,,
,MFMMS,MFMMS,,,acronym,Abkürzung,MFMMS – Magnetic Field Modulated Microwave Spectroscopy,MFMMS – Magnetic Field Modulated Microwave Spectroscopy,,,,,,
,FGI,FGI,,,acronym,Abkürzung,FGI – Fine-grained Ca-Al-rich inclusion. Occur in CV chondrites and are assumed to be direct condensates formed in the protoplanetary disk/solar nebular gas.,"FGI – Fine-grained Ca-Al-rich inclusion. Treten in CV Chondriten auf, und sind vermutlich direkte Kondensate, die sich in der protoplanetaren Scheibe/dem solaren Gas gebildet haben.",,,,,,
,UPB,UPB,,,acronym,Abkürzung,UPB – Ureilite Parent Body,Parent body of the ureilites.,Bezeichnung des unbekannten Mutterkörpers der Ureilite.,,,,,
,LDG,LDG,,,acronym,Abkürzung,LDG – Lybian Desert Glas.,LDG – Lybian Desert Glas -> Lybisches W[sten Glas.,,,,,,
